Section,Pattern,File,Source,Modified,Required,Status,DuplicateCount
01_Geometry_and_Mesh,mesh_geometry.csv,mesh_geometry.csv,C:\Users\Samsung\OneDrive\MSc Aerospace Engineering\Dissertation\MATLAB Code\results\disc_lenticular_v03\mesh_geometry.csv,29-Aug-2026 23:06:07,1,Copied,1
01_Geometry_and_Mesh,mesh_convergence*.csv,mesh_convergence_medium_to_fine.csv,C:\Users\Samsung\OneDrive\MSc Aerospace Engineering\Dissertation\MATLAB Code\results\disc_lenticular_v03\mesh_convergence_medium_to_fine.csv,29-Aug-2026 23:06:07,0,Copied,1
01_Geometry_and_Mesh,mesh_convergence*.mat,,,,0,Not found,0
02_Baseline,baseline*.csv,,,,0,Not found,0
02_Baseline,baseline*.mat,,,,0,Not found,0
03_Operational_Attitude,operational_pitch_sweep.csv,operational_pitch_sweep.csv,C:\Users\Samsung\OneDrive\MSc Aerospace Engineering\Dissertation\MATLAB Code\results\disc_lenticular_v03\operational_pitch_sweep.csv,02-Sep-2026 15:49:48,1,Copied,1
03_Operational_Attitude,operational_pitch*.mat,,,,0,Not found,0
03_Operational_Attitude,sideslip_sweep_results.csv,sideslip_sweep_results.csv,C:\Users\Samsung\OneDrive\MSc Aerospace Engineering\Dissertation\MATLAB Code\results\disc_lenticular_v03\sideslip_sweep_results.csv,01-Sep-2026 18:44:13,1,Copied,1
03_Operational_Attitude,sideslip*.mat,sideslip_sweep_summary.mat,C:\Users\Samsung\OneDrive\MSc Aerospace Engineering\Dissertation\MATLAB Code\results\disc_lenticular_v03\sideslip_sweep_summary.mat,01-Sep-2026 18:44:13,0,Copied,1
04_Altitude_and_Environment,altitude_sweep_summary.csv,altitude_sweep_summary.csv,C:\Users\Samsung\OneDrive\MSc Aerospace Engineering\Dissertation\MATLAB Code\results\disc_lenticular_v03\altitude_sweep_summary.csv,29-Aug-2026 23:20:07,1,Copied,1
04_Altitude_and_Environment,altitude_sweep*.mat,altitude_sweep_summary.mat,C:\Users\Samsung\OneDrive\MSc Aerospace Engineering\Dissertation\MATLAB Code\results\disc_lenticular_v03\altitude_sweep_summary.mat,29-Aug-2026 23:20:07,0,Copied,1
04_Altitude_and_Environment,environment_sensitivity_results.csv,environment_sensitivity_results.csv,C:\Users\Samsung\OneDrive\MSc Aerospace Engineering\Dissertation\MATLAB Code\results\disc_lenticular_v03\environment_sensitivity_results.csv,02-Sep-2026 15:45:59,1,Copied,1
04_Altitude_and_Environment,environment_sensitivity_baseline.csv,environment_sensitivity_baseline.csv,C:\Users\Samsung\OneDrive\MSc Aerospace Engineering\Dissertation\MATLAB Code\results\disc_lenticular_v03\environment_sensitivity_baseline.csv,02-Sep-2026 15:45:59,1,Copied,1
04_Altitude_and_Environment,environment_sensitivity_relative_to_quiet.csv,environment_sensitivity_relative_to_quiet.csv,C:\Users\Samsung\OneDrive\MSc Aerospace Engineering\Dissertation\MATLAB Code\results\disc_lenticular_v03\environment_sensitivity_relative_to_quiet.csv,02-Sep-2026 15:45:59,1,Copied,1
04_Altitude_and_Environment,environment_sensitivity_summary.mat,environment_sensitivity_summary.mat,C:\Users\Samsung\OneDrive\MSc Aerospace Engineering\Dissertation\MATLAB Code\results\disc_lenticular_v03\environment_sensitivity_summary.mat,02-Sep-2026 15:45:59,1,Copied,1
05_GSI_and_Accommodation,gsi_sensitivity_comparison.csv,gsi_sensitivity_comparison.csv,C:\Users\Samsung\OneDrive\MSc Aerospace Engineering\Dissertation\MATLAB Code\results\disc_lenticular_v03\gsi_sensitivity_comparison.csv,01-Sep-2026 21:08:29,1,Copied,1
05_GSI_and_Accommodation,gsi_sensitivity*.mat,gsi_sensitivity_summary.mat,C:\Users\Samsung\OneDrive\MSc Aerospace Engineering\Dissertation\MATLAB Code\results\disc_lenticular_v03\gsi_sensitivity_summary.mat,01-Sep-2026 21:08:29,0,Copied,1
05_GSI_and_Accommodation,accommodation_sensitivity_sentman.csv,accommodation_sensitivity_sentman.csv,C:\Users\Samsung\OneDrive\MSc Aerospace Engineering\Dissertation\MATLAB Code\results\disc_lenticular_v03\accommodation_sensitivity_sentman.csv,29-Aug-2026 23:32:42,1,Copied,1
05_GSI_and_Accommodation,accommodation_offnominal_comparison.csv,accommodation_offnominal_comparison.csv,C:\Users\Samsung\OneDrive\MSc Aerospace Engineering\Dissertation\MATLAB Code\results\disc_lenticular_v03\accommodation_offnominal_comparison.csv,30-Aug-2026 00:04:43,1,Copied,1
05_GSI_and_Accommodation,accommodation*.mat,accommodation_offnominal_summary.mat,C:\Users\Samsung\OneDrive\MSc Aerospace Engineering\Dissertation\MATLAB Code\results\disc_lenticular_v03\accommodation_offnominal_summary.mat,30-Aug-2026 00:04:43,0,Copied,1
05_GSI_and_Accommodation,accommodation*.mat,accommodation_sensitivity_results.mat,C:\Users\Samsung\OneDrive\MSc Aerospace Engineering\Dissertation\MATLAB Code\results\disc_lenticular_v03\accommodation_sensitivity_results.mat,01-Sep-2026 21:32:13,0,Copied,1
05_GSI_and_Accommodation,accommodation*.mat,accommodation_sensitivity_summary.mat,C:\Users\Samsung\OneDrive\MSc Aerospace Engineering\Dissertation\MATLAB Code\results\disc_lenticular_v03\accommodation_sensitivity_summary.mat,29-Aug-2026 23:32:42,0,Copied,1
06_Surface_Properties,material_surface_results.csv,material_surface_results.csv,C:\Users\Samsung\OneDrive\MSc Aerospace Engineering\Dissertation\MATLAB Code\results\disc_lenticular_v03\material_surface_results.csv,01-Sep-2026 22:29:16,1,Copied,1
06_Surface_Properties,material_surface*.mat,material_surface_summary.mat,C:\Users\Samsung\OneDrive\MSc Aerospace Engineering\Dissertation\MATLAB Code\results\disc_lenticular_v03\material_surface_summary.mat,01-Sep-2026 22:29:16,0,Copied,1
07_CoM_and_Stability,com_xz_optimised_comparison.csv,com_xz_optimised_comparison.csv,C:\Users\Samsung\OneDrive\MSc Aerospace Engineering\Dissertation\MATLAB Code\results\disc_lenticular_v03\com_xz_optimised_comparison.csv,01-Sep-2026 23:11:13,1,Copied,1
07_CoM_and_Stability,com_xz_sensitivity*.mat,com_xz_sensitivity_v03.mat,C:\Users\Samsung\OneDrive\MSc Aerospace Engineering\Dissertation\MATLAB Code\results\disc_lenticular_v03\com_xz_sensitivity_v03.mat,01-Sep-2026 23:11:13,0,Copied,1
07_CoM_and_Stability,stability_com_trade_shadowON_data.csv,stability_com_trade_shadowON_data.csv,C:\Users\Samsung\OneDrive\MSc Aerospace Engineering\Dissertation\MATLAB Code\results\disc_lenticular_v03\stability_com_trade_shadowON_data.csv,30-Aug-2026 00:13:04,1,Copied,1
07_CoM_and_Stability,stability_com_trade_shadowON_summary.mat,stability_com_trade_shadowON_summary.mat,C:\Users\Samsung\OneDrive\MSc Aerospace Engineering\Dissertation\MATLAB Code\results\disc_lenticular_v03\stability_com_trade_shadowON_summary.mat,30-Aug-2026 00:13:04,1,Copied,1
07_CoM_and_Stability,stability_com_trade_shadowON.png,stability_com_trade_shadowON.png,C:\Users\Samsung\OneDrive\MSc Aerospace Engineering\Dissertation\MATLAB Code\results\disc_lenticular_v03\stability_com_trade_shadowON.png,30-Aug-2026 00:13:06,0,Copied,1
07_CoM_and_Stability,small_angle_pitch*.csv,small_angle_pitch_results.csv,C:\Users\Samsung\OneDrive\MSc Aerospace Engineering\Dissertation\MATLAB Code\results\disc_lenticular_v03\small_angle_pitch_results.csv,29-Aug-2026 23:22:54,0,Copied,1
07_CoM_and_Stability,small_angle_pitch*.mat,small_angle_pitch_summary.mat,C:\Users\Samsung\OneDrive\MSc Aerospace Engineering\Dissertation\MATLAB Code\results\disc_lenticular_v03\small_angle_pitch_summary.mat,29-Aug-2026 23:22:54,0,Copied,1
07_CoM_and_Stability,small_angle_shadowOFF_diagnostic.csv,small_angle_shadowOFF_diagnostic.csv,C:\Users\Samsung\OneDrive\MSc Aerospace Engineering\Dissertation\MATLAB Code\results\disc_lenticular_v03\small_angle_shadowOFF_diagnostic.csv,02-Sep-2026 16:39:35,1,Copied,1
07_CoM_and_Stability,small_angle_shadowOFF_diagnostic.mat,small_angle_shadowOFF_diagnostic.mat,C:\Users\Samsung\OneDrive\MSc Aerospace Engineering\Dissertation\MATLAB Code\results\disc_lenticular_v03\small_angle_shadowOFF_diagnostic.mat,02-Sep-2026 16:39:35,1,Copied,1
07_CoM_and_Stability,small_angle_shadowOFF_diagnostic.png,small_angle_shadowOFF_diagnostic.png,C:\Users\Samsung\OneDrive\MSc Aerospace Engineering\Dissertation\MATLAB Code\results\disc_lenticular_v03\small_angle_shadowOFF_diagnostic.png,02-Sep-2026 16:39:41,0,Copied,1
08_Extended_Attitude_and_Agility,high_agility_aerodynamic_results.csv,high_agility_aerodynamic_results.csv,C:\Users\Samsung\OneDrive\MSc Aerospace Engineering\Dissertation\MATLAB Code\results\disc_lenticular_v03\high_agility_aerodynamic_results.csv,02-Sep-2026 15:29:31,1,Copied,1
08_Extended_Attitude_and_Agility,high_agility_pitch_results.csv,high_agility_pitch_results.csv,C:\Users\Samsung\OneDrive\MSc Aerospace Engineering\Dissertation\MATLAB Code\results\disc_lenticular_v03\high_agility_pitch_results.csv,02-Sep-2026 15:29:31,1,Copied,1
08_Extended_Attitude_and_Agility,high_agility_sideslip_results.csv,high_agility_sideslip_results.csv,C:\Users\Samsung\OneDrive\MSc Aerospace Engineering\Dissertation\MATLAB Code\results\disc_lenticular_v03\high_agility_sideslip_results.csv,02-Sep-2026 15:29:31,0,Copied,1
08_Extended_Attitude_and_Agility,high_agility_kinematic_requirements.csv,high_agility_kinematic_requirements.csv,C:\Users\Samsung\OneDrive\MSc Aerospace Engineering\Dissertation\MATLAB Code\results\disc_lenticular_v03\high_agility_kinematic_requirements.csv,02-Sep-2026 15:29:31,0,Copied,1
08_Extended_Attitude_and_Agility,high_agility_assessment_summary.mat,high_agility_assessment_summary.mat,C:\Users\Samsung\OneDrive\MSc Aerospace Engineering\Dissertation\MATLAB Code\results\disc_lenticular_v03\high_agility_assessment_summary.mat,02-Sep-2026 15:29:31,1,Copied,1
08_Extended_Attitude_and_Agility,refined_agility_slew_results.csv,refined_agility_slew_results.csv,C:\Users\Samsung\OneDrive\MSc Aerospace Engineering\Dissertation\MATLAB Code\results\disc_lenticular_v03\refined_agility_slew_results.csv,30-Aug-2026 16:17:31,1,Copied,1
