AoA_deg,AoS_deg,DynamicPressure_Pa,AreaProj_m2,AreaRef_m2,CD_ADBSat,CD_projected,Drag_N,CFx_w,CFy_w,CFz_w,CMx_B,CMy_B,CMz_B,My_Nm
-30,0,0.00015407609581726,0.409436270811652,0.843762977802813,1.00953888444942,2.08044962323972,0.000131243795738953,-1.00953888444942,-1.55516211074903e-07,0.053587544906073,3.03802802057698e-07,0.00105487399750573,6.17571905047546e-07,1.37089818275542e-07
-25,0,0.00015407609581726,0.352061780865649,0.843762977802813,0.865682766876761,2.07472412204622,0.000112541967407891,-0.865682766876761,-1.29189363463319e-05,0.0484650499730457,-3.41529415336748e-06,7.47855353227882e-05,-4.70665463374071e-06,9.71901428159391e-09
-20,0,0.00015407609581726,0.294092467608065,0.843762977802813,0.721741225678599,2.07070426092384,9.38290336889834e-05,-0.721741225678599,-1.52287622158793e-05,0.0421674029122074,-2.91154014496963e-06,-0.000488215709326229,-3.91365545101354e-06,-6.34477700929722e-08
-15,0,0.00015407609581726,0.233055756986935,0.843762977802813,0.572334553081177,2.07209945401301,7.44056126375924e-05,-0.572334553081177,-1.33545167025701e-07,0.0337314420445068,1.09165751396916e-06,-0.00182715391689615,4.36082505279336e-06,-2.37454140514426e-07
-10,0,0.00015407609581726,0.177670529218304,0.843762977802813,0.439611700626989,2.08772990788037,5.71511500252993e-05,-0.439611700626989,-1.33930062248679e-08,0.0247442868836611,-8.04142409258474e-07,-0.00166424276891683,-2.85833121715951e-06,-2.16282455816204e-07
-5,0,0.00015407609581726,0.130961091271988,0.843762977802813,0.336964594310283,2.17101313640455,4.38066458539999e-05,-0.336964594310283,-4.33997662517786e-08,0.0139041659954985,2.37494422103786e-08,-0.000397628102754272,1.16873968170608e-07,-5.16751426964016e-08
0,0,0.00015407609581726,0.09812405169075,0.843762977802813,0.297566787400701,2.55875938983572,3.86847849705294e-05,-0.297566787400701,-4.16658706398641e-05,-0.000225749070484485,-3.23282994154757e-06,0.00113752152590754,-2.61143681390394e-05,1.4783056520486e-07
5,0,0.00015407609581726,0.130566490257602,0.843762977802813,0.336122526073309,2.17213270377929,4.36971738629809e-05,-0.336122526073309,1.0528116784495e-13,-0.0146273293767358,4.58984642749492e-07,0.00144862299546434,-5.72459157321821e-06,1.88260838420088e-07
10,0,0.00015407609581726,0.177898860774193,0.843762977802813,0.43966509009262,2.0853035485335,5.71580908536615e-05,-0.43966509009262,1.10955227431853e-14,-0.0260671239322323,4.76476930314024e-14,0.00135663962091854,-1.8788214027438e-13,1.76306819143216e-07
15,0,0.00015407609581726,0.233601440647575,0.843762977802813,0.573086960462116,2.06997679020734,7.45034283850961e-05,-0.573086960462116,-4.18990628993347e-15,-0.0353143484577286,6.2330057175898e-14,0.00137308076622783,-1.91115603457879e-13,1.78443485349817e-07
20,0,0.00015407609581726,0.291516223869778,0.843762977802813,0.714966848953071,2.06939617114558,9.29483396127877e-05,-0.714966848953071,-4.44330515903469e-15,-0.0432091591339724,7.60916991207969e-14,0.00102187101674507,-1.8327019866868e-13,1.32800801155273e-07
25,0,0.00015407609581726,0.349561834047331,0.843762977802813,0.859127030117284,2.07373777866292,0.000111689697337433,-0.859127030117284,-3.89675309175703e-15,-0.0497767680898772,8.11092047069488e-14,0.000395874997799311,-1.57175247892118e-13,5.14473118462129e-08
30,0,0.00015407609581726,0.406435016758127,0.843762977802813,1.00185250508796,2.07985537209577,0.000130244537940737,-1.00185250508796,-4.83409670001473e-15,-0.0549174447660016,1.08555464774691e-13,-0.000436872711128811,-1.78943654139057e-13,-5.67753122361585e-08
