SurfaceID,SurfaceCase,AoA_deg,AoS_deg,AlphaN,AlphaT_Literature,SigmaT_ADBSat,AreaProj_m2,AreaRef_m2,CD_ADBSat,CD_projected,Drag_N,CMy,My_Nm
1,Fully accommodating reference,-30,0,1,1,1,0.409436270811652,0.843762977802813,1.01041056200704,2.08224596934808,0.00013135711705137,0.00101170205798678,1.3147925876109e-07
2,Uncoated POSS-Novastrat,-30,0,0.2,0.95,0.776393202250021,0.409436270811652,0.843762977802813,1.09590178350608,2.25842559184473,0.0001424712926267,-0.0425162272600068,-5.52534414784868e-06
3,Al2O3-coated POSS-Novastrat conservative,-30,0,0.3,0.58,0.351925930159214,0.409436270811652,0.843762977802813,0.791655010495188,1.63143628610084,0.000102918084774727,-0.0588539898991835,-7.64857490008032e-06
4,Al2O3-coated POSS-Novastrat best-case,-30,0,0.18,0.4,0.225403330758517,0.409436270811652,0.843762977802813,0.726847128782702,1.4978807240828,9.44928200120067e-05,-0.0672023449965788,-8.73351441504396e-06
1,Fully accommodating reference,0,0,1,1,1,0.09812405169075,0.843762977802813,0.299095825227024,2.57190749661771,3.88835655536712e-05,0.00113482674527149,1.47480355617211e-07
2,Uncoated POSS-Novastrat,0,0,0.2,0.95,0.776393202250021,0.09812405169075,0.843762977802813,0.290959333761749,2.50194228269397,3.78257915141078e-05,0.0016259779666287,2.11309620383315e-07
3,Al2O3-coated POSS-Novastrat conservative,0,0,0.3,0.58,0.351925930159214,0.09812405169075,0.843762977802813,0.187347949146439,1.61099405021767,2.43559275909385e-05,0.00141165550703885,1.83456599921143e-07
4,Al2O3-coated POSS-Novastrat best-case,0,0,0.18,0.4,0.225403330758517,0.09812405169075,0.843762977802813,0.161331845667928,1.387283098992,2.0973737738272e-05,0.0014070803220909,1.82862015852738e-07
1,Fully accommodating reference,30,0,1,1,1,0.406435016758127,0.843762977802813,1.00271206017633,2.08163981667128,0.000130356283287234,-0.000392591530323488,-5.10205974133626e-08
2,Uncoated POSS-Novastrat,30,0,0.2,0.95,0.776393202250021,0.406435016758127,0.843762977802813,1.0809796187116,2.24412401594581,0.000140531355910605,0.0436982843587812,5.67896248828125e-06
3,Al2O3-coated POSS-Novastrat conservative,30,0,0.3,0.58,0.351925930159214,0.406435016758127,0.843762977802813,0.776705378283989,1.61244778583231,0.00010097457719268,0.0600328682787392,7.80178013900401e-06
4,Al2O3-coated POSS-Novastrat best-case,30,0,0.18,0.4,0.225403330758517,0.406435016758127,0.843762977802813,0.711169980185077,1.47639567326461,9.24547326039739e-05,0.0684367825548438,8.89394004022308e-06
