SlewAngle_deg,SlewTime_s,RequiredAngularAcceleration_rad_s2,PeakAngularRate_deg_s
30,10,0.020943951023932,6
30,20,0.00523598775598299,3
30,30,0.00232710566932577,2
30,60,0.000581776417331443,1
45,10,0.0314159265358979,9
45,20,0.00785398163397448,4.5
45,30,0.00349065850398866,3
45,60,0.000872664625997165,1.5
60,10,0.0418879020478639,12
60,20,0.010471975511966,6
60,30,0.00465421133865155,4
60,60,0.00116355283466289,2
90,10,0.0628318530717959,18
90,20,0.015707963267949,9
90,30,0.00698131700797732,6
90,60,0.00174532925199433,3
