Axis,SlewAngle_deg,Inertia_kgm2,AssumedTorque_Nm,SlewTime_s,PeakRate_deg_s,MomentumRequired_Nms,RateRatioToBenchmark
X,30,2.17642300189354,0.0065,26.4816037043475,2.26572380849237,0.0860652120391294,0.503494179664972
X,45,2.17642300189354,0.0065,32.4332083231241,2.77493361444085,0.105407927050153,0.61665191432019
X,60,2.17642300189354,0.0065,37.4506431120778,3.20421733856154,0.121714590114253,0.712048297458119
X,90,2.17642300189354,0.0065,45.8674830818341,3.92434875222725,0.149069320015961,0.872077500494944
Y,30,2.21533356420805,0.0065,26.717276942788,2.24573784702996,0.086831150064061,0.499052854895547
Y,45,2.21533356420805,0.0065,32.7218479132283,2.75045591063994,0.106346005717992,0.611212424586653
Y,60,2.21533356420805,0.0065,37.7839354021688,3.17595292080433,0.122797790057048,0.705767315734296
Y,90,2.21533356420805,0.0065,46.2756811047973,3.88973205153624,0.150395963590591,0.864384900341387
Z,30,4.33658267769912,0.0065,37.3806151352773,1.60511002247729,0.121486999189651,0.356691116106065
Z,45,4.33658267769912,0.0065,45.7817166763937,1.9658502680483,0.14879057919828,0.436855615121845
Z,60,4.33658267769912,0.0065,52.8641728941582,2.26996836288837,0.171808561906014,0.504437413975193
Z,90,4.33658267769912,0.0065,64.7451246324785,2.78013211066869,0.210421655055555,0.617807135704154
